
2026/03/09 05:10:17 PM, INFO, mealpy.swarm_based.PSO.OriginalPSO: Solving single objective optimization problem.
params={'nb_filters': 128, 'kernel_size': 3, 'dropout_rate': 0.47979694961934705, 'dense_units_1': 64, 'dense_units_2': 64, 'dense_dropout_1': 0.3095720239981028, 'dense_dropout_2': 0.46177968192959395, 'dilation_mode': 'short', 'learning_rate': 0.0005, 'batch_size': 32, 'activation_type': 'leaky_relu', 'loss_function': 'huber', 'epochs': 30}, val_rmse=14.728686, val_mae=10.892007, val_r2=0.532379, time=236.79s
params={'nb_filters': 32, 'kernel_size': 7, 'dropout_rate': 0.11820835346895225, 'dense_units_1': 64, 'dense_units_2': 16, 'dense_dropout_1': 0.25903320351260334, 'dense_dropout_2': 0.41880098072941196, 'dilation_mode': 'long', 'learning_rate': 0.001, 'batch_size': 16, 'activation_type': 'leaky_relu', 'loss_function': 'mse', 'epochs': 30}, val_rmse=15.754537, val_mae=11.915196, val_r2=0.464971, time=354.26s
params={'nb_filters': 32, 'kernel_size': 5, 'dropout_rate': 0.23972765364465093, 'dense_units_1': 128, 'dense_units_2': 32, 'dense_dropout_1': 0.25946407854994036, 'dense_dropout_2': 0.24735164479093036, 'dilation_mode': 'long', 'learning_rate': 0.0003, 'batch_size': 32, 'activation_type': 'leaky_relu', 'loss_function': 'mse', 'epochs': 30}, val_rmse=14.683611, val_mae=10.969063, val_r2=0.535237, time=222.94s
params={'nb_filters': 32, 'kernel_size': 5, 'dropout_rate': 0.14693364486626265, 'dense_units_1': 128, 'dense_units_2': 64, 'dense_dropout_1': 0.19835609460706763, 'dense_dropout_2': 0.19624985628831967, 'dilation_mode': 'long', 'learning_rate': 0.001, 'batch_size': 16, 'activation_type': 'relu', 'loss_function': 'huber', 'epochs': 30}, val_rmse=15.897982, val_mae=11.812127, val_r2=0.455184, time=371.83s
params={'nb_filters': 32, 'kernel_size': 7, 'dropout_rate': 0.1304256246994874, 'dense_units_1': 256, 'dense_units_2': 32, 'dense_dropout_1': 0.4023445006357752, 'dense_dropout_2': 0.4868724246900552, 'dilation_mode': 'short', 'learning_rate': 0.0005, 'batch_size': 16, 'activation_type': 'relu', 'loss_function': 'mse', 'epochs': 30}, val_rmse=15.327665, val_mae=11.735285, val_r2=0.493572, time=304.25s
params={'nb_filters': 128, 'kernel_size': 5, 'dropout_rate': 0.11442115937966402, 'dense_units_1': 256, 'dense_units_2': 128, 'dense_dropout_1': 0.16112228626845637, 'dense_dropout_2': 0.49150046896367117, 'dilation_mode': 'long', 'learning_rate': 0.0005, 'batch_size': 16, 'activation_type': 'relu', 'loss_function': 'mse', 'epochs': 30}, val_rmse=15.723438, val_mae=11.759814, val_r2=0.467081, time=371.94s
params={'nb_filters': 32, 'kernel_size': 3, 'dropout_rate': 0.1447544318716145, 'dense_units_1': 32, 'dense_units_2': 128, 'dense_dropout_1': 0.29358341150596146, 'dense_dropout_2': 0.22694785001578308, 'dilation_mode': 'medium', 'learning_rate': 0.001, 'batch_size': 32, 'activation_type': 'leaky_relu', 'loss_function': 'huber', 'epochs': 30}, val_rmse=15.077131, val_mae=11.176527, val_r2=0.509992, time=112.76s
params={'nb_filters': 64, 'kernel_size': 3, 'dropout_rate': 0.4459063538753383, 'dense_units_1': 128, 'dense_units_2': 16, 'dense_dropout_1': 0.22082708545050142, 'dense_dropout_2': 0.21704764054260042, 'dilation_mode': 'short', 'learning_rate': 0.001, 'batch_size': 16, 'activation_type': 'relu', 'loss_function': 'mse', 'epochs': 30}, val_rmse=21.736584, val_mae=17.250006, val_r2=-0.018471, time=223.91s
params={'nb_filters': 128, 'kernel_size': 7, 'dropout_rate': 0.40933239317475223, 'dense_units_1': 128, 'dense_units_2': 128, 'dense_dropout_1': 0.2833671687953479, 'dense_dropout_2': 0.3088271024110347, 'dilation_mode': 'long', 'learning_rate': 0.0005, 'batch_size': 32, 'activation_type': 'relu', 'loss_function': 'huber', 'epochs': 30}, val_rmse=14.802939, val_mae=10.908335, val_r2=0.527652, time=297.14s
params={'nb_filters': 32, 'kernel_size': 7, 'dropout_rate': 0.19566705794166844, 'dense_units_1': 128, 'dense_units_2': 16, 'dense_dropout_1': 0.1906773595664186, 'dense_dropout_2': 0.4296669957134637, 'dilation_mode': 'medium', 'learning_rate': 0.0001, 'batch_size': 32, 'activation_type': 'leaky_relu', 'loss_function': 'mse', 'epochs': 30}, val_rmse=14.826988, val_mae=11.099942, val_r2=0.526116, time=126.78s
params={'nb_filters': 32, 'kernel_size': 5, 'dropout_rate': 0.24368392616653944, 'dense_units_1': 128, 'dense_units_2': 16, 'dense_dropout_1': 0.23162361117836713, 'dense_dropout_2': 0.1481905225928935, 'dilation_mode': 'medium', 'learning_rate': 0.0005, 'batch_size': 16, 'activation_type': 'leaky_relu', 'loss_function': 'mse', 'epochs': 30}, val_rmse=15.241008, val_mae=11.465147, val_r2=0.499282, time=249.60s
